iter	RMSE
0	8762.918724
1	8274.220905
2	7840.852785
3	7455.378986
4	7079.832988
5	6722.400622
6	6461.690761
7	6185.583167
8	5922.788071
9	5670.595926
10	5471.190114
11	5204.957913
12	5016.821439
13	4794.176747
14	4608.063733
15	4501.29038
16	4347.331881
17	4209.281841
18	4105.895502
19	4009.627767
20	3883.15451
21	3805.08429
22	3704.838636
23	3612.481244
24	3536.512886
25	3453.882406
26	3390.154392
27	3336.626927
28	3287.376748
29	3231.990357
30	3156.096842
31	3113.539494
32	3071.085523
33	3035.529974
34	2994.698235
35	2953.370656
36	2907.683643
37	2873.996978
38	2837.866494
39	2802.661365
40	2776.398162
41	2753.264264
42	2725.608632
43	2690.498338
44	2654.513413
45	2625.085697
46	2595.167347
47	2575.784581
48	2549.201603
49	2520.946347
50	2500.890558
51	2479.131633
52	2474.073883
53	2464.459948
54	2452.208548
55	2427.979603
56	2407.154419
57	2391.402532
58	2367.263752
59	2348.788973
60	2331.548518
61	2313.046846
62	2295.545864
63	2277.971665
64	2257.999258
65	2237.173755
66	2215.302718
67	2201.122807
68	2186.212694
69	2172.108405
70	2154.732348
71	2143.891542
72	2128.041413
73	2113.083499
74	2101.580993
75	2082.307158
76	2070.072687
77	2056.036317
78	2044.072901
79	2029.616603
80	2015.494401
81	2002.188223
82	1990.203566
83	1975.986579
84	1960.329027
85	1949.744576
86	1941.230793
87	1921.866685
88	1915.668801
89	1910.321528
90	1896.971828
91	1887.796959
92	1872.503898
93	1857.580452
94	1839.244692
95	1826.41319
96	1817.95749
97	1806.500325
98	1784.835947
99	1773.14822
100	1757.772639
101	1749.877111
102	1743.269761
103	1733.427636
104	1720.155729
105	1709.134473
106	1698.370004
107	1689.5061
108	1677.432125
109	1661.898828
110	1653.238525
111	1647.245338
112	1638.454801
113	1631.4479
114	1623.387111
115	1615.837546
116	1611.092046
117	1606.39607
118	1597.488633
119	1588.854962
120	1583.190586
121	1580.552724
122	1572.7777
123	1567.905743
124	1560.277723
125	1550.6773
126	1541.354938
127	1530.412205
128	1521.828707
129	1514.742535
130	1511.152717
131	1499.926507
132	1492.020377
133	1482.205265
134	1471.170605
135	1465.167235
136	1460.735427
137	1453.060575
138	1445.765308
139	1442.077327
140	1435.659222
141	1430.771396
142	1428.796588
143	1426.516129
144	1422.512638
145	1417.781926
146	1411.167316
147	1402.655193
148	1396.098391
149	1390.119612
150	1381.018365
151	1372.500598
152	1366.825718
153	1362.179314
154	1354.162609
155	1351.774464
156	1345.132736
157	1341.855224
158	1339.218327
159	1331.313099
160	1322.823465
161	1317.189041
162	1312.876998
163	1310.386029
164	1304.696092
165	1297.07624
166	1294.499591
167	1287.556579
168	1281.466848
169	1276.286783
170	1268.922735
171	1262.31691
172	1258.867481
173	1253.911627
174	1249.671876
175	1243.884778
176	1239.768651
177	1234.122515
178	1225.552476
179	1220.664997
180	1214.13352
181	1212.343154
182	1210.194351
183	1206.770733
184	1203.201363
185	1195.356691
186	1190.803877
187	1188.80215
188	1183.622219
189	1178.257208
190	1174.801162
191	1169.640402
192	1162.657167
193	1157.41026
194	1153.579696
195	1146.394853
196	1142.20189
197	1139.911156
198	1135.691178
199	1130.032038
200	1127.201174
201	1120.59658
202	1117.370123
203	1113.623729
204	1101.493513
205	1099.175366
206	1094.556733
207	1090.872869
208	1086.749452
209	1081.966502
210	1078.065427
211	1076.343014
212	1071.892495
213	1068.556813
214	1065.813977
215	1064.306475
216	1062.643874
217	1060.680459
218	1056.217753
219	1051.803331
220	1047.658895
221	1044.376913
222	1039.501946
223	1036.149663
224	1034.007903
225	1028.653444
226	1023.215169
227	1018.185729
228	1015.961154
229	1010.648282
230	1007.190304
231	1001.08509
232	998.8353094
233	993.2090463
234	990.2590838
235	989.4557666
236	984.976513
237	981.9800342
238	978.5032523
239	971.8972609
240	969.4323825
241	966.0088127
242	959.5617515
243	955.3973902
244	953.4564438
245	952.1654217
246	950.383799
247	945.2947813
248	939.7938532
249	933.9617505
250	931.2904099
251	927.4967218
252	925.3930588
253	923.5526795
254	918.8031911
255	914.868583
256	912.1698826
257	910.1731393
258	904.8856288
259	902.3528913
260	899.4069043
261	896.3151735
262	892.394888
263	891.2361171
264	887.3771306
265	885.1058114
266	883.1190569
267	880.8691342
268	875.2507404
269	873.7982409
270	871.3414687
271	867.7726484
272	865.7855854
273	863.5506415
274	860.8206009
275	857.9780421
276	852.8491986
277	850.1852174
278	848.2612074
279	845.9881466
280	841.9507393
281	839.7982391
282	835.5106504
283	831.1711046
284	829.7465972
285	828.1333015
286	822.3163917
287	819.5080275
288	817.209961
289	815.6923663
290	813.2611307
291	812.1401458
292	809.4432043
293	805.9328238
294	803.3445218
295	802.2644913
296	799.4395065
297	797.4925358
298	794.4946071
299	792.8042493
300	790.529111
301	787.1023743
302	784.0819276
303	780.0935207
304	777.2923565
